Additional data collected for market,,,,,,,
meta.instanceID,M-q705_cropShareAg,M-q706_cropSP,M-q707_cropAvgSP,M-q708_marketDistance,O-q801_newMgmtUse,uniqueid ,D-q420_cropSeedAmt
uuid:e453e3fe-e244-42c4-8c70-79a4b474a5c6,10,1250,1300,4,None,52,8
uuid:36f4b2a1-1d7d-44af-9763-7d420bdb1bf3,20,1350,1250,4,None,53,8
uuid:dee9b7b7-4ba6-42f5-ba55-3b8777e13303,5,1350,1250,5,None,54,1
uuid:e283af8f-0797-4b57-baf6-9da25ec25d83,5,1400,1250,5,None,55,1
uuid:fccda25d-5d7a-4ecd-acc0-647f6fbda1fd,40,1350,1250,10,None,56,1
uuid:8cc16495-6563-444b-a76a-0b49f74b7937,20,1350,1200,10,None,57,1
uuid:975663a8-5772-44d7-b876-fd8ea83f7482,10,1300,1250,9,None,58,1
uuid:76ccb0b5-d15c-4238-aead-af1e38e11625,30,1300,1250,9,None,59,0.5
uuid:51a6ae16-1d6d-4d10-a771-0d743a502712,50,1300,1250,10,None,60,2.5
uuid:68ee9e15-d4f7-4e18-8440-27baec303b23,40,1400,1250,10,None,61,2
uuid:6c24b775-3ed0-4729-b910-148809cb7ef3,40,1350,1200,10,None,62,5
uuid:68d08109-6bde-473a-b31b-a0d3cd340e1e,30,1300,1250,5,NutrientManagement,63,1
uuid:e4c2e62d-8d14-489c-998d-a0cf5cafb11c,0,0,0,5,IrrigationManagement,64,0.5
uuid:b16dbc33-9a81-4fb0-a282-377b2b3e461a,5,1200,1150,5,IrrigationManagement,65,2
uuid:13c6aa21-4c5e-4143-8e92-ca167b4affaf,5,1200,1150,5,None,66,3
uuid:a2b9e49a-eac8-47cf-a8c1-106589ea59b6,30,1250,1200,5,IrrigationManagement,67,3
uuid:d5472e94-01b7-432c-acc7-0293f52bf0c1,20,1200,1150,5,IrrigationManagement,68,2
uuid:70ced156-21cd-434c-8f03-b1ea2fa86088,20,1250,1200,5,VarietyReplacement,69,1.5
uuid:1ce1bee8-8ecc-4707-b5be-198e6353ce4f,0,1800,1650,6,VarietyReplacement IrrigationManagement WeedManagement,70,4
uuid:5c8c1ff7-0b28-4168-abc3-a0e43ed5c316,0,1850,1600,6,None,71,2
uuid:aedb6e7b-b4bb-405f-9968-456e2c246196,40,1900,1600,6,VarietyReplacement,72,2.5
uuid:23e26324-7e60-4c45-95ba-065bc449cee3,70,1800,1650,6,NutrientManagement VarietyReplacement WeedManagement,73,15
uuid:56deefe8-5d79-4dea-91dd-668a8000ddf8,0,1450,1250,6,None,74,1.5
uuid:607c87f2-54d0-4e8f-90bd-e9c087531605,0,1200,1150,1,None,75,4
uuid:63745582-97e1-415d-a7da-29ac60d837b2,0,1100,1150,1,None,76,5
uuid:99977527-afca-4ba1-8caf-ae56c54627dc,50,1600,1450,3,None,77,4
uuid:d563ed8a-ee6e-4708-91ee-df8dc8693e16,50,1400,1350,0,None,78,4
uuid:177bf449-3cd9-4806-864f-328479cc537a,0,1600,1550,0,None,79,0.6
uuid:c3c676f5-d161-4d33-9c85-e415aae3db5c,0,1600,1400,7,None,80,4
uuid:f2899bc3-5122-4954-b016-f9ab6aa6631a,80,1500,1400,3,None,81,7.5
uuid:3394dcb4-7216-49f0-8175-d29d674d094c,80,1500,1450,3,None,82,25
uuid:c93f7726-c071-4261-9c8b-54fac1505e8e,30,1400,1450,3,None,83,10
uuid:ec7641e3-8049-4196-856e-974151fca735,20,1450,1550,5,None,84,2.8
uuid:aa3d2732-c36b-47fe-9bea-42ad2c824753,80,1550,1320,7,NutrientManagement,85,16
uuid:8b7a440f-33e8-4f05-9589-6ece21a1c1cf,20,1200,1150,10,None,86,20
uuid:b9b741fa-ad8d-4c47-a7e6-416ef7d3a80a,40,1200,1150,0,None,87,20
uuid:cf45bb32-6c29-4edc-b759-da3816962682,20,1200,1150,10,None,88,6
uuid:499d7f2e-2079-420c-96c7-4352e87aab83,0,1250,1200,10,VarietyReplacement,89,2.5
uuid:1c6334df-cef1-44da-8b79-c7f4d4a5a64b,5,1200,1000,20,None,90,4
uuid:cadd2d96-522b-4578-adc8-6e706d7ea1b1,40,1100,800,20,None,91,12
uuid:1cb61d93-9e71-460c-856f-e07b4a709807,30,1400,1100,10,None,92,4
uuid:8f3a5e32-fac2-4160-8ff9-21b13bea8ecb,10,1350,1250,10,None,93,11
uuid:d68a4800-9b83-4549-b79a-d982877ed40c,40,1350,1250,10,None,94,1.5
uuid:af7fa2b9-a2c6-45b4-a183-62e0888ab00f,40,1400,1250,12,None,95,1.5
uuid:a0d430af-16c6-4769-a63f-e428e9e518e1,0,1350,1250,12,None,96,1
uuid:fd432bde-2a7f-48de-8e73-8cb6fc71ae96,10,1350,1300,10,None,97,4
uuid:6a5bcfef-57a8-4fbf-b0b8-566b207dcd37,20,1400,1300,12,None,98,1
uuid:e1bc9762-fcae-4c1f-9025-7a150076af95,10,1400,1350,10,None,99,1
uuid:486ec19e-b222-48cb-b026-de20088e32bd,20,1350,1250,16,None,100,3
uuid:accbe5af-1b3d-45c6-8816-a21e40d8eb93,30,1350,1250,14,None,101,5
uuid:01840935-cb8d-4512-90bb-40affa823e05,20,1350,1200,14,None,102,2
uuid:4b674508-eed6-440a-adda-53b4d7f48fd1,40,1300,1250,14,None,103,6
uuid:3b2e16a7-deaa-4715-a175-2be5e5a02ec0,30,1400,1000,5,NutrientManagement VarietyReplacement,104,5
uuid:fe37fee9-ae9a-4bfc-a55e-2563b4534a08,30,1400,1100,5,VarietyReplacement,105,1
uuid:9ea75e9c-7a28-42b5-86c9-034e6331fd69,30,1400,1000,5,VarietyReplacement,106,2
uuid:a4e1c214-cb43-41f1-bdec-d2b015f97544,30,1400,1100,5,VarietyReplacement,107,2
uuid:940b90a3-91f5-4b97-b858-859e7656a058,40,1400,1050,5,VarietyReplacement IrrigationManagement,108,2
uuid:718aaad4-5d12-41a8-a498-ab6d2291d467,30,1400,1000,5,VarietyReplacement WeedManagement,109,5
uuid:cf232e42-6e16-47d9-bf54-968815eb73a1,30,1400,1050,5,VarietyReplacement,110,6
uuid:01661f4c-8bc9-4f9b-85aa-bd28f039b180,70,1850,1650,6,VarietyReplacement IrrigationManagement,111,16
uuid:0fc14b72-be7e-4885-95ec-4fa1180ce19f,80,1850,1650,6,NutrientManagement VarietyReplacement,112,10
uuid:651ea33a-3dd9-44f9-b5b8-22aaed08ca87,60,1500,1250,28,NutrientManagement WeedManagement,113,2.5
uuid:19b0425f-4aba-4615-9cd8-5a0ebdb2adaf,60,1300,1200,12,IrrigationManagement,114,2.5
uuid:c9f5f9ff-81fc-4e14-9f34-ec81dbbea6eb,60,1300,1100,12,None,115,3.5
uuid:d9ae38cf-e3de-4166-932f-63524d9226fb,60,1300,1000,12,None,116,4
uuid:2c5f1850-b5e5-4f73-aa1e-e4ca856d73e8,60,1500,0,12,None,117,40
uuid:56e75a76-6c6c-4a43-9f17-b603f61a5a5d,60,1150,1000,12,IrrigationManagement WeedManagement,118,25
uuid:4a196a70-035f-46a0-8dc1-138042e0ba66,40,1500,1000,12,None,119,24
uuid:5206492d-093b-49bb-af61-6c5703d93388,40,1400,1100,12,None,120,3.5
uuid:4b3e81c7-ebe0-4cb7-981e-e40c8f79c9c7,40,1300,0,12,None,121,1.5
uuid:cc7f69d1-4bec-494b-8159-568ca8e40136,20,1450,1250,2,None,122,8
uuid:ec04c946-681c-4654-81b4-fb0a72f84843,40,1450,1250,2,None,123,48
uuid:c03a5741-122e-4356-ab5e-7b881654e0bf,0,1550,1450,0,None,124,0.4
uuid:f1acb8b1-16ff-46b8-9f35-253051bb8472,0,1500,1400,0,None,125,1.2
uuid:22d0422b-1c06-4458-b387-6ef60d89ae9f,0,1550,1500,0,None,126,1
uuid:0f54dc46-7593-4523-9dc4-bc09e823d96b,30,1450,1400,0,None,127,0.5
uuid:e8acd952-2404-45cb-86f2-4d78aff40ba6,10,1550,1500,0,None,128,5
uuid:0f284e04-07ef-4cc5-a605-8f68b4e1d739,30,1550,1400,0,WeedManagement,129,7
uuid:44b154dc-dd5a-4604-b0bd-76bb17fc0a1d,60,1700,1650,3,None,130,2.5
uuid:5d42044c-0df6-4048-b77c-269dbeca4ba0,0,1700,1550,0,None,131,7.5
uuid:f09f2b8c-b5bc-4a8e-9c28-99b4c46b5f61,10,1600,1550,5,None,132,3.5
uuid:0e56d080-7870-44c3-b44b-044ffac9a176,20,1700,1350,0,None,133,4
uuid:5af3d4a3-76b3-42b2-a4fa-88cbb09dde9d,0,1700,1350,0,None,134,3
uuid:8683bfcb-1333-404c-ab43-0cff3cb9ea52,30,1480,1200,3,None,135,6.4
uuid:f96f80f6-15fb-4827-ba71-a4792df8d2a1,5,1500,1350,7,VarietyReplacement,136,4.8
uuid:c9b07081-6f9a-4d2f-9331-3f4571148117,10,1500,1300,3,VarietyReplacement,137,4.8
uuid:7b0ed6c9-edfa-4d71-b0e9-25f38c176d27,20,1500,1330,9,NutrientManagement,138,4.8
uuid:d27db2da-49fd-44c4-a499-25e8dd2d7458,0,1200,1100,5,None,139,12
uuid:c0e3aea2-ceda-424f-b72e-d5eb8542c7fd,30,1150,1250,1,None,140,10
uuid:c706c426-e333-404c-b3c4-371ab429e7cb,90,1250,1200,3,None,141,5
uuid:c352053d-8f4c-4ca5-937d-a765f1e84251,40,1200,1150,3,None,142,18
uuid:60c48fab-0e97-4f88-9629-797f874aa821,5,1250,1200,15,None,143,0.5
uuid:69c32323-3ead-4047-9e89-8709b57a2224,40,1350,1200,15,None,144,1.2
uuid:cb4cfd85-2f8a-40fe-aeee-1fc91f99a669,40,1300,1200,15,None,145,3
uuid:dfbe17d1-97ae-4723-8bd2-b69508ee841e,40,1300,1200,8,None,146,12
uuid:c2f7dc9f-bdad-4d63-a00e-54c28a81dea8,40,1250,1250,7,None,147,2
uuid:d775b7fd-186f-4190-ab10-3f9684154854,30,1350,1200,7,None,148,1
uuid:ae99379b-0f28-4cd8-a8b6-11dae640252f,30,1300,1200,7,None,149,1.5
uuid:77a1701d-19be-4cf8-99db-f30858e80550,20,1350,1200,7,None,150,1.5
uuid:06edd528-05d1-474b-859e-628f48ef2b8e,30,1350,1250,7,None,151,1
uuid:4a1b7987-a71a-4380-8ee8-b88e19ff8793,40,1300,1200,7,None,152,3
uuid:f3c48e80-d8ea-4a8b-b974-2d23e85916cf,50,1400,1100,5,VarietyReplacement WeedManagement,153,7
uuid:b047e86d-80f5-45c9-83e0-1203272af0af,40,1400,1050,1,VarietyReplacement,154,2
uuid:b1fcd413-8c0e-4ef7-9487-be174d65d62e,30,1400,1100,4,VarietyReplacement IrrigationManagement,155,1
uuid:acd3c0b5-55b3-4580-a6d8-386aa1b39487,50,1300,1000,5,VarietyReplacement IrrigationManagement,156,8
uuid:e6a4d659-8888-43bc-ae08-b6e5dcb00394,20,1400,1000,1,VarietyReplacement,157,3
uuid:ee13b68c-0c78-4b40-a261-bb1ae6171a48,30,1400,1000,5,VarietyReplacement,158,1
uuid:82eb1c91-f91e-4dd6-bb50-3e89157b773b,60,1400,1350,20,None,159,3
uuid:4804494c-c0a2-446a-8c91-7da6008ff3c9,60,1300,1000,20,WeedManagement,160,8
uuid:25956a83-5769-446b-a7d5-50e0202fdca7,30,1300,900,20,None,161,4
uuid:0dc686e7-3d3f-4785-a6c9-0fc3e8cf1e2b,70,1500,1000,20,IrrigationManagement WeedManagement,162,3
uuid:d0ad86c6-0545-4c9c-900f-0bc2092039d2,60,1500,1100,20,IrrigationManagement,163,2
uuid:3cd8a147-3f94-4838-b472-5d8e47589192,30,1500,1000,20,None,164,1.5
uuid:eb3c2ba1-5479-4153-8c31-185b7e84dddb,0,1450,1100,28,None,165,2
uuid:245e1c47-a646-4bac-9a49-04704f1acdb6,80,1450,1250,28,None,166,3
uuid:2c063523-f27e-4f3b-b4b0-5a49637f2c64,90,1450,1200,28,NutrientManagement,167,2
uuid:b1fb7b1b-06c5-4ab1-8e8b-05149cde97e6,70,1450,1200,28,None,168,4
uuid:5c795b59-be21-4455-9697-b19775779c24,70,1500,1000,20,IrrigationManagement,169,2
uuid:74cd9a65-1c91-4f3a-9d82-3f620bb08d22,0,1550,1400,0,None,170,3.3
uuid:c03ceb16-bd96-4d71-99d0-5cd75dc24803,0,1500,1450,0,None,171,4
uuid:0b755110-8613-4dc3-b4ab-41fa7780352d,50,1600,1550,0,None,172,5.5
uuid:a4c15be0-2cc9-4f82-a5c4-e5e60747730f,50,1600,1550,0,None,173,4
uuid:ffa5370c-1121-4125-ae39-c4b8fa5c42e7,0,1500,1450,4,None,174,7
uuid:a2d88b09-0e53-4dcc-8f73-919cddf59b25,10,1600,1550,5,None,175,1.5
uuid:5c9275d3-2bdc-4908-b3fe-9a0b6a3cd8f4,50,1500,1300,0,None,176,2
uuid:6c952c47-7e44-419c-8564-18cf1574ae7c,20,1450,1300,1,VarietyReplacement,177,6.4
uuid:e17aa5f7-33fb-4b88-8dd9-d6b85653c56c,10,1520,1320,1,VarietyReplacement,178,6.4
uuid:4d21ba9b-2a33-471b-8ff2-6464524dfd4b,20,1500,1310,1,None,179,6.4
uuid:4c5210f6-8e6f-4e0e-908c-932f1cc46ee9,30,1200,1200,5,None,180,20
uuid:8c1334d0-7fd5-45d4-9fe2-e7e9c3ade6ab,50,1300,1100,5,CropEstablishment,181,40
uuid:678b4f1c-3ef8-4a7a-a5da-f2b71590bfc4,10,1200,1200,5,NutrientManagement CropEstablishment,182,4
uuid:b99bd098-6d45-4adb-aa60-874ab2f42226,0,1100,1200,5,None,183,20
uuid:2aeec58a-c2ac-423e-aa1e-c909f6d114a6,10,1250,1200,4,None,184,2
uuid:40bb793a-9552-4954-b4a6-b3259f30dc55,20,1300,1200,2,None,185,2
uuid:91bd5702-9b91-4ac6-8c7a-007203225658,20,1350,1200,4,None,186,1
uuid:ddf4eda5-bef5-4c2f-bcb4-788adbdd163c,40,1350,1200,2,None,187,1.5
uuid:92a86c83-f1ec-414b-b6bd-582c8a554eb5,30,1300,1200,4,None,188,1.2
uuid:2f46b764-d86c-4e75-bedd-d8d87036ebc7,40,1300,1200,2,None,189,1.5
uuid:6d7af28c-4545-47a6-9e67-769a38f23481,30,1300,1200,3,None,190,1
uuid:7e7460de-67f9-4e39-9907-6f11f97475d1,10,1300,1300,6,NutrientManagement VarietyReplacement WeedManagement,191,2
uuid:6c263915-50bd-4efe-88aa-e1d38da39b23,40,1400,1300,6,NutrientManagement IrrigationManagement WeedManagement,192,4
uuid:240e1499-30c8-4995-869a-4c16cb6b9fe6,20,1400,1300,5,NutrientManagement WeedManagement,193,1.5
uuid:e4663130-786f-42e0-9296-ca9092ab97c4,40,1400,1300,6,NutrientManagement IrrigationManagement WeedManagement,194,1.5
uuid:81ec34e2-129d-4a9e-9b18-d00ef60e1e77,10,1400,1300,6,IrrigationManagement WeedManagement,195,2
uuid:f15a68d7-adda-4fd1-9b3d-98b2208c5c18,40,1300,1200,6,NutrientManagement IrrigationManagement WeedManagement,196,3
uuid:7759c562-76d0-4a5e-9bc0-7e0638c2f811,30,1500,1100,7,None,197,1.5
uuid:4d878523-4669-4fe5-91f6-331bfd393286,40,1400,1100,7,None,198,2
uuid:27e4dc50-9088-4659-8ee7-dc52f703037a,5,1500,1300,6,VarietyReplacement,199,4.8
uuid:5f780773-c13e-4fa8-9d83-da3be9969dae,40,1500,1280,1,VarietyReplacement,200,4.88
uuid:2c6848e1-6236-42a5-a78c-3a0e69231fc9,10,1500,1300,6,VarietyReplacement,201,5.6
uuid:539c226e-4270-4224-a99f-864eaa05e6da,20,1180,1200,7,None,202,4.8
uuid:481e2a52-3cb6-4dbb-9874-e5f9129e4a9b,20,1500,1270,6,None,203,6.4
uuid:e19ff532-f2c7-4ed2-998c-0bd1feb29e4b,20,1500,1310,1,None,204,6.4
uuid:d70f2801-8b22-4a5d-98d2-b7a408b9d680,10,1500,1300,1,VarietyReplacement,205,6.4
uuid:987fb6a8-fee8-488c-8616-15fcccc83f50,10,1400,1400,5,VarietyReplacement,206,4
uuid:653829b7-721d-4d44-80e8-41ff737e761a,30,1300,1100,5,NutrientManagement CropEstablishment,207,10
uuid:26edc35a-cc55-4fac-a1b9-8fe09df10602,20,1400,1200,5,VarietyReplacement,208,10
uuid:59a560e2-6261-405c-b563-4b8f2f90e2db,40,1200,1000,2,None,209,6
uuid:6c21ee0f-5ce2-475f-9913-bd0360ef32cd,30,1150,1100,2,None,210,7
uuid:8e7bbad9-e4d8-4df6-b683-59d7c56ab884,40,1200,1100,2,None,211,3.5
uuid:d617939a-b966-46de-8b95-f5b168bc9a80,50,1250,1050,2,VarietyReplacement,212,3.5
uuid:7ff0fb95-b90a-4b2a-a83d-15b72c829c67,10,1350,1150,3,VarietyReplacement,213,1
uuid:62ae4c4b-0c38-4948-95fb-a2da15c15600,30,1350,1050,3,VarietyReplacement,214,6
uuid:a62ec986-f8c7-4e7b-8f8e-173d0b80d166,5,1450,1100,3,None,215,1
uuid:012bdde4-345e-4783-95ef-33268df11745,20,1200,1150,9,None,216,7
uuid:07bddaa9-06f2-449d-8f9a-1b5f3af0c541,50,1150,1100,6,None,217,5
uuid:03272cda-1fbc-44c1-a1c9-13eb31de4444,40,1150,1100,9,None,218,5
uuid:a511183f-4333-4493-a153-88f951e7cafe,40,1200,1100,4,None,219,15
uuid:f8353ad4-debe-47ee-951f-23f59833207c,30,1350,1300,25,None,220,1
uuid:dfa1e857-a34e-4951-a5e9-c922ebc50d28,20,1200,1300,15,None,221,2
uuid:0b0b54fc-3c29-4f2b-a9c7-a903712f055c,10,1350,1300,25,None,222,2
uuid:15107514-4b1c-48f2-be8f-bd368c59d66e,10,1350,1300,25,None,223,6
uuid:2d3bb673-bffc-4d6f-9d05-5427b8d05e0b,20,1350,1300,25,None,224,1
uuid:54e33f9c-29d0-4a01-8bd5-84ecfefe8c3b,10,900,800,30,None,225,1
uuid:2d4c7c30-1211-4d23-bb0d-3521df12c1d5,40,1300,1000,2,VarietyReplacement,226,6
uuid:c6cdb830-82fd-426e-a621-b6b6ab29015d,40,1400,1100,4,VarietyReplacement,227,2
uuid:e856f29a-c1e1-499a-af11-1df4c9045b78,30,1400,1050,4,VarietyReplacement,228,1
uuid:0275af60-31d5-4e37-b1ef-16ac27a085f2,40,1400,1100,2,VarietyReplacement WeedManagement,229,1
uuid:366946cf-f293-4888-b669-8c6c08dcbd77,20,1400,1050,2,VarietyReplacement,230,0.5
uuid:c6fdb0a6-9083-4440-aea0-a977a724a1cd,20,1350,1100,4,VarietyReplacement,231,1
uuid:2ce958c8-5794-44f2-8f49-b5bb58db8825,30,1200,1150,2,VarietyReplacement,232,3
uuid:1f8e577e-c9a4-4fef-8b72-f211778d1ecb,60,1450,1300,16,NutrientManagement VarietyReplacement IrrigationManagement,233,4
uuid:07fe247d-941b-4e30-8b73-c62ae0bb3025,70,1450,1200,16,VarietyReplacement,234,1
uuid:271d6982-eed2-4eed-8012-ae0d132290a7,0,1400,1200,16,None,235,1
uuid:5cccffdc-d045-4fff-88bb-2410f0f87f93,60,1250,1250,12,VarietyReplacement IrrigationManagement WeedManagement,236,1.25
uuid:2e831a39-e0a4-4996-acd1-7249001721e0,20,1450,1100,16,VarietyReplacement IrrigationManagement WeedManagement,237,1.25
uuid:bb58708d-0a35-45a4-be7d-5f73b3dde334,40,1450,1200,16,VarietyReplacement,238,2
uuid:3de14e35-e2cd-4880-b6b2-efea080b0cda,20,1450,1100,16,None,239,1.5
uuid:018ac9c8-0d5d-4103-8785-f2b8e7a90c43,50,1700,1550,3,None,240,7.5
uuid:3a0e6c67-cdce-4c9d-bd4d-836827d7783a,40,1700,1550,3,None,241,12.5
uuid:0b7c2d05-7a3c-4ca1-b0d2-eb59ddcd8e02,20,1700,1500,3,None,242,10
uuid:41d9af1a-63d0-47ec-8b77-ff5f5141b36a,20,1600,1550,3,None,243,10
uuid:211239be-8483-43b9-9de5-804966b58f9a,20,1500,1600,3,None,244,7.5
uuid:550259d2-ba75-4aad-b326-d719fd947b0b,30,1600,1500,3,None,245,9
uuid:dffe9669-ae19-499f-ad77-a94a8cb167cc,40,1600,1450,3,None,246,2
uuid:a42d4f81-42ba-4eab-a12d-363442c45aa5,20,1600,1450,3,None,247,12.5
uuid:7b87824e-db0f-49b6-9845-e3e91de09981,30,1600,1450,3,None,248,5
uuid:2cfc5f67-5c73-41e6-b078-60cf8830f49d,30,1650,1550,3,None,249,2
uuid:4089d338-dd1d-44b9-8d36-2612e2d442e8,60,1600,1450,2,None,250,3.8
uuid:a6687790-c8a8-4553-846e-6b60d88a1fca,50,1600,1450,2,None,251,1.8
uuid:ac2eef27-f3c3-4439-91c9-462ef5e60d75,60,1600,1450,2,None,252,4.5
uuid:3ae1b3cd-8939-4210-b0c5-aa4db3814bf9,40,1600,1450,2,None,253,8
uuid:6561fa36-5a72-46ea-97fb-f89f170b664e,20,1530,1300,5,VarietyReplacement,254,6.4
uuid:07107128-0d43-4fda-bb1d-f6f9a790dd76,40,1500,1300,5,VarietyReplacement,255,6.4
uuid:04337333-afc1-4135-a95e-011a3a35ec15,20,1550,1300,5,VarietyReplacement,256,6.4
uuid:2fa23773-4317-4e56-b801-d397eff72201,20,1450,1300,8,VarietyReplacement IrrigationManagement,257,6.4
uuid:d5d38864-e3fd-4b5e-b61d-e6dbea1d6af3,20,1550,1310,5,NutrientManagement,258,6.4
uuid:f0441023-87cc-49b4-998b-2bfe37f4ba7d,10,1500,1310,4,None,259,6.4
uuid:fc4c85cf-3389-44f5-98ac-70673f070abc,30,1520,1300,5,None,260,6.4
uuid:6c8d04de-5a2a-4032-bffe-ab317751333f,20,1520,1300,5,None,261,6.4
uuid:202c50ec-3fdb-4eb4-9afd-80bf0009f686,0,0,0,2,NutrientManagement CropEstablishment WeedManagement,262,10
uuid:da9ef6b9-158b-47d9-a808-6cf94da8b134,10,1200,1000,2,NutrientManagement CropEstablishment WeedManagement,263,10
uuid:4b644aea-8c23-4a2e-8b63-820dbe0c9fe2,30,1300,1200,2,NutrientManagement IrrigationManagement,264,15
uuid:9b1dd880-430c-4ca4-b985-96e95663a20b,0,0,0,2,NutrientManagement IrrigationManagement,265,20
